Type,"Attachments (Downloadable, Expand)",Category,Full Prompt,ID
"Leonardo AI 🎨 , ",Lucid_Origin_Retro_beach_scene_with_friends_around_a_bonfire_a_0.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/7OBv6JDLow-opoGPW7dIPg/czqwL6CXOdpGJD3WLOh2YOKqLfNBGehF1TGDoJXxVVsVuNF3g1AzPmBt6zC1gYeVjZV9otl0TeOXFCvpHVaAiWjsLVn4yeecdKhBLV6xM4t8tOP6vi006ZA43WKI1JyUHsrk_yJD_oT2Igb5qHERF3hBvXSy6-OjBDdROwgnGnzVWx7cFuphln7Y7irVTdoWPJuuk3HZ6jwpEyA40Hcjw97Cz-YwDON6FLuVqaFCjxk/4DH1OVMfFy-_sSvPFbXdoi3CwrTE6F7tayf7iyj7PZE),Leonardo AI,"Retro beach scene with friends around a bonfire at dusk, warm faded tones and light leaks, polaroid_sx70_ expiredfilm",1191
"Midjourney 🎨 , ",metricsmule_A_candid_paparazzi_shot_of_a_reclusive_tech_mogul_55d3320a-d007-43fb-808d-497ac6db01aa_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/3g_dwOowaoP9ST3jPnwohQ/aygewyuDAgHPUwyKK7t3AfNtXWdBeiqtAAKs0jyYmlZqn3ioUc7jmoPtR793AaqoOGBjF43XUCXjQcjWnTZymsxubzzsk8oB6wuUlHp2OB6YMT-pSWtBmYMX8dO8MD3p7RU97MqZGmd2D-GhheMCHGG1ssfy6UNG6BR7yvHGQKHRSSZqZ4-cKBl0xGGM_aerPbI6UJltc8U0IDhmmqMzjYtzcLMGbbr6Gswu_rl934b-A-v_jNz3BQlb8PM7pPS0C-2LP4I2t4a8xgVueJYafg/6DSTzWAStuntQ3KK36EFJpJU-S0_8afzxXYTs6XAZLA),Midjourney,"A candid paparazzi shot of a reclusive tech mogul exiting a sleek, brutalist-inspired high-rise apartment building at dawn in a desolate, smog-choked cyberpunk city. The subject is dressed in tailored, minimalist cyber-apparel with subtle integrated circuitry, their face partially hidden by a high-collar jacket or data mask. The environment is dominated by concrete, reinforced glass, and distant, flickering power lines. The shot is captured with a Leica M11, 50mm f/0.95 Noctilux lens, simulating DNG RAW file tags, with an ISO 400 to maintain image clarity. Muted, diffused pre-dawn light filters through the heavy atmospheric pollution, casting long, soft shadows and creating a sense of urban melancholy. Occasional bursts of warm light from interior building lights add subtle color accents. The image has a hyper-detailed, almost clinical realism, with a vogue.com layout overlay, suggesting a high-fashion editorial angle despite the candid nature.",1187
"Midjourney 🎨 , ","metricsmule_A_dark_knight_standing_amidst_a_sprawling_rain-sl_bad1f966-d942-4c14-a916-7a423b77fc01_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/25cfD_P9mqWntuJrBVK2hA/E59-3M5cSUSirfxkaWD0uqLnUPSmVkq2f7S7Y3dn5NW7uSz2E7lchP89jcrn_qbp6jnrUIdSIXNJ1fr-eZpNE05_gOpC3hdMoUqdyov7ZAGB8Ei7aJLwfQLIIZm-8Cx6wDX56MJlD9sW3Kq9Q5SMFCcvObNgd7hbBSFJjemMBsy6tmMOe6bkTCTCb4LjiZxFQAhcslwp5Fvs3n-uwzcnFmBbSxWthZZPuoTx6uMlRWCY5jKXRy8105YqQYWQR789xkdD0Tt4VfVGUCdtF9Rlig/YEttOfVljSAZW5dJy5USUAuJH509MHON8n3_YUi1MeE),metricsmule_stills_archive_warnerbros_.com_A_dark_knight_stan_a2843c48-6e80-4ae8-b841-a012e021fdc1_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/CScCe9wb7S13VIVAlx6elg/oPx-0_3HYRm2DL9leLuGU6eC8l9dEkB0iLncp_aX83Vvy3TQkxWjkUzZvrul5ldiJKKhO7ni5jIgvSpT6_WaZlcr10I-TW2XV1yAMrgjoFJLaXud0HcOM9nF9Jj19iXAOG6U6zHCnBQieoOf2yzvR0tEuddj-xF-fUxeixWuJ9iCNGftzJNJFBtGGyJweaoK-Q6kVMaJyHSe3_o6aMykZNB_-N8Z9_TaeKJcUzMSadgOa9l3vzdNAYcm2uVqR9CbabI4GLvO4r7bHpqF6tn4_Q/Krexw5luxNCr1zCBXFR1B9UkbA6pF8A-bBjd5_rBNzI),metricsmule_A_dark_knight_standing_amidst_a_sprawling_rain-sl_bad1f966-d942-4c14-a916-7a423b77fc01_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/MgsXTYUcC8o42hTXYZBMoQ/oIboVmq78MFfR-UMAO2wM-YO0bj2CHkYrhb2wQezQ2-lOh-WC8OW-aBuWG4GdeEzd1bWpWXocBXVe1tSShHnMpy_h2-vIBrmoQRaGY76p9fn7zYZ4ceFEVsu4UCZFivRI62kjG-uLEzIYz6PRnAjCuIsdp6Ug5jCffXoQS1pO3oSsCkwN0KZ_ta6f3LzGhlcy64DBzxAj0T_PVjn5hVERlFSBu-rehYkzLUVcVeWdftffN3YvYONvaoEOftgn6qUPatlIy457ow6jp15mwmvxQ/7Xw7PxF4bLUh-f62NBJN58Sbv4snLBlXjA6HERW0M0c)",Midjourney,"A dark knight, standing amidst a sprawling, rain-slicked dystopian cyberpunk world, the scene imbued with a profound sense of darkness and foreboding. The knight's armor is a fusion of ancient, battle-worn steel and glowing, integrated cybernetic enhancements, reflecting the harsh neon glow of distant skyscrapers. Camera Style & Realism Tokens: IMAX 65mm wide shot, captured with a Hasselblad X1D II, Leica M10-P, cinematic color grading, deep shadows, subtle volumetric fog, 8k resolution, photorealistic, stills archive, photographed by Roger Deakins.",1188
"Leonardo AI 🎨 , ","Lucid_Origin_Photo_by_Richard_AvedonA_macrodetailed_portrait_p_1.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/jyyGL6o0Z8uXDWsPivJGIQ/_BjQmm2i8eZoyrD5qHa9MwncmCs1t7KqD071_56ih5z67aslqMQdY3TgtQOg-4dtbNL5yOPPvG1OXjbcuISlJwjgqVNuZyXEP1dfxrp5f9IbcGMVxeTVdlwmprKjLRkQkQrDGndLgf7Od0caiaxWsAMoyKVzsNjKoTW8MKT3u-US__b2npZa2A_ixyRNOHTKUIPmSq0WV4f-0NkbRpm7FikuFWfsa7gJm2dfTsq8dwQ/vKul952ZhEjP0sRytRSoyZVkq-w03SfToncA7gAA4PE),Lucid_Origin_Photo_by_Richard_AvedonA_macrodetailed_portrait_p_0.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/95Ggn8fHEy73feFPJNrTVw/Vu-Xz05oOCJalRjxpyzeRCrklC46GiaUhQ4K-XjqJbtSzqSC0YJ2figZ2BawfT3d2iWrGCjCwQbE62BFPy6Qit-b1dsG3M8bRLzNi7diW6uqAWtDQutmAxAJsBEDvc51Xk5tDesRZiP7Lcdq_QZqHQJ-8mkAI8N7TRbKbVWIaYzzJjo_6WYydZsKC4WgycCOl7uGJNouVGtAiM1DVrpbaRTPWyqUKfWm1C-YQrsIvRY/mmjyd79Du-98kVX67M_iATpbdMPvMZXLPOAdmkw5ivk)",Leonardo AI,"Photo by Richard Avedon.A macro-detailed portrait photograph.An incredibly beautiful nymph, a woman.Portrait on the water surface, through which the seabed shines through. Inspired by the works of Magdalena Oleksy and Jakub Rozalski. ",1192
"Leonardo AI 🎨 , ","Lucid_Origin_archive_footage_national_geographic_natgeo_com_Ma_0.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/SiM9OSq0-oTXE0TzkJyIQg/E6jeey1f18kflhdmOsWADtQSxD0pUM0PnokDbgez8PAZk1Kh-cfZeaYlobusbq0MTg-1OHi72Zlrar9NvPsH4QMZ10DoMnITw5NgSa1sdrPDTaQEsgBAm-5tZhC600genAopqSV9-RsO7UwCjh_jRiN20iRdzQwdpNnK9pIQ_7S7xC7ao2vMV8PXGD_9kidbewvfpFDcTb2HwuHcpp6WJS8Wyo6NLfBLvl5Z8H9qvZM/De21PdIiWJsGNGVwm1Cgf001RtB2EvQdr5BYZXNOOSs),Lucid_Origin_Majestic_lion_pride_with_tawny_coats_and_shaggy_m_1.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/lFnALEeJCqVo41bdFtZxuw/mwsjfLmdZbQ_9eepeN_uxLzXcefJwonUF1VZcGAhD4gIgMkh2pUd0AAU5LIKN0_g2RYzgGgEnrQ0D1elxRwn2_X-WYqo-onGSNYp3WbcsQpVCuqpTl2vg9p73ayKvCZoTGs7eJNpTzh3H5Cdb5TBbgy2avaEcLOOZHvJSR8_7WUfwS51jwZt-SWBMKoF-laUck6SgaLCTCD1n5hDJKADzwI13z1Yf8QWbGB4hMNXFnk/CQR3PJoTOPj4rGXc6YTAav9mRImASfmOy0GmfyndTrI)",Leonardo AI,"archive footage, national geographic, natgeo .com",1189
"Leonardo AI 🎨 , ","Lucid_Origin_stills_archive_snow_white_live_action_disney_com_0.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/r3W4vMytMzAU3m8TkWD7_g/K8bYLH5fFTUdlierFTNXL6bv0i96TPVU9SnMVYhQdqatSFM1bhmqsSPS_gdsenO0CERR4Pft2i0jcgA70G6ARu1Z5je1WWGWiy0IhmvQuawL-i4XLkwP0dwMSPKJmryGhhpFC9W0WoIcP8DqnJh1PGWeizfh2ZHn4T9I-4DlN_9wmaKfkuHW9nvqinplGlag6uzmdlA2TPPdRQkk7zbq3k3KG_vOs_WcVWPlcxEl80c/Sy-DdhqSr5_pDg9GBvLls9kHJC9qhzo3KlqPHZteesw),Lucid_Origin_stills_archive_snow_white_live_action_disney_com_1.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/wvY6nU1ZxBMXLjyrOhkJFA/HwgpDzR5jUNSPHAVQmDYQ1wvZ8sdSiUlXSBEOU9DjH3KN3RGYQ7eEert-LvVz4Wz3gWYR1RZHSCMV9V6okAvq5gHk_NBlJct5Giyu53y9m5ejaZHmbgJJRUxV_QozHe-XizGt4lmu0xO2BFGMD1zMn_BWT0hdSbxfz4tG3-gW69OTUXxJ1mt2NnR6d7uK7ZlGMxAcKA5ehlAxKcElZnjuIOVpO-VGXOqXMW2EajuDoE/LeUZV1Id7b8NG8J8ChUWmkQqam5bor09FqnnZbYzFuk)",Leonardo AI,"stills archive, snow white live action, disney .com",1193
"Leonardo AI 🎨 , ",Lucid_Origin_Futuristic_spaceship_exploding_in_deep_space_amid_0.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/jwHxCqESEbCK4wrvlD4dzw/nWq2jUXfbI6gvAAnzeNv7DfY5Bivr6dk_mU_T2jeIdloDdvVIS9dGtrVZ1Y0VrG1O9_a5-Tc943CxJdC87JncCJbrxZ3AAzTnHgy9JIfPZ8DJkGIVQrkAlYYMg7Ygng60dpWR0PsIAQ7Cesl9wvTkJxGisp6nUonX8pDMoBefd7b7Ir5lIn-OOcuijYd_uXmZiHqjXDdf80WqCm139qpTmhGFw6hh3I_EJFXvitCj4k/VDOEUSC7hN8CBPFcy-WyBdsQ5Hu_ShQ8H8Pp4wVlmrc),Leonardo AI,"Futuristic spaceship exploding in deep space amid asteroid field, intense volumetric lighting and debris, frame_0001.exr",1190
"Midjourney 🎨 , ","metricsmule_Fujifilm_Pro_400H_First-person_perspective_in_the_19c01256-f897-4f34-8e3a-41812b4d4ade_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/y1mov7bOt8ymVwsrVFRaSw/MOlMOOM0If5qEgIT_PdfuPelG5qUAkuldlsV37qCVoZ7cNzLPhPTHS5fMBJO7TQJRUwaBAXai_SptZu_7V4ZNkXY_LfczfT0L5Risf89JrutLmznwUxR0SU5ugnmKIvw46go0mjB2pMoo9w2bZOmuflr6Y5g2riSmOq-Sx1J-eusQ1Jo_O84--ZsPoCT9mfpR_iZeT2ecSfdHSsYLQ66ICzApsDRYBaRowfGyHKx5fXf4jd0OYs9pV_eUmWGhnGRCWip24EOcqTpXENZr1vGfA/NRByuX5bTAdRK4FJGIqF0dqVi6l52QKGRDYyIAlRdZU),metricsmule_Fujifilm_Pro_400H_First-person_perspective_in_the_19c01256-f897-4f34-8e3a-41812b4d4ade_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/qxni2jfqjy-wKmuSluPLbg/QbpSI0Pk864rwkoYI-_CXKLfocwrvdidZInWA8JPwhesgVN5zRxgsTR7zceUWlWmNH8ccCr4ElKT505zivG5XkwXIjzUxvX5BYFVqABFkiJ9hEEdRetbAfKCpCK2CrAX72U0hah5XghEGcKp6BJZSFFZ9Qmn71m5Ya99dVtwWeSi2O7LqBmKG_ZJupaAT96QxozSVnoVPjKWL7NlfNTF41EEw0yRPm_B6FfGtRxxB4Uj3MxpqCn8oUwfNWMnLt28kmdevSk5dWd0_hDuRtGiQw/PSzTnjJ-Ammo7dAUpCVHGcFKQ0__hfU4bNsNRUVzAFA)",Midjourney,"Fujifilm Pro 400H: First-person perspective, in the foreground, a pair of hands hold a WWII rifle. In the background, the backs of several soldiers are charging forward, wearing WWII German uniforms and holding WWII rifles. These soldiers are in a resolute posture. In the background, the wide land war scene looks tattered against the background of artillery fire, showing a sharp contrast between the war scene and the natural environment. The whole image conveys the intensity and severity of the battle through meticulous light and shadow effects and clear details.",1186
"Midjourney 🎨 , ","metricsmule_httpss.mj.runUbexBvKNujg_A_beautiful_woman_with_s_3ea5b37d-a87c-447d-9bac-3aff2dd50480_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/4UG_-Q5dkC6BqoWW8M_MPA/mhCn1sGaVxoYEydIKqD4Jp27I3qnmb9-jP-448_WTbOZuM37U6qVZGKx7QGbwolkZ4ozSHEh2zopsI6yO_H8jGu-K0aIkcJtpp-QZIeIlYPeE1uv2RwGUs4h3hbRqkqyGVKZfqqR0yolPS-qEpIErQM-lOm4WmEMtJLCU1_TGfUDdtLuIH3PTQ1uWt6i_Ngj-iETVqttfwlnt9XAu7LqPPgVen5eF3bSMSiQW9fXqAzh64nS7aL49F8IiyE6lDEPFs955kHcQxQUiActjU9LtQ/ZbeIXw6WmJhXDJ8f5I_pSIaJjYSs_7fhCIAsO9cKsFQ),metricsmule_httpss.mj.runUbexBvKNujg_A_beautiful_woman_with_s_3ea5b37d-a87c-447d-9bac-3aff2dd50480_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/hnM5Ojf2rAG_ID41wFWK6Q/b4I58mkKMW3Z9VeJ7Now3G_GecQ6_rBbP2Pt9fN-b8CkW0H-grVN7UBiy0a5uM-C_gzK0CyvLn3gEYWi2TPM7-GpRaUje0JtW6bbDmqKknByR1SsKC4I2isAK91-560rUyn3uFJ_qkiig5fwkGzdtJ_OialuewuF6T4Rkp9xuDHd6mSHeJx99WOFlnEedwAbSBzEGaP1L8R9FFzeweBrX6To02s9AL6ddBEVo5IdBP50bNGqeNfttSAd1oFc0TJTeRxAVCa58BU8mfx7lvY21w/_7j26RzkDqFZw3D7DXa4icjD29phF-QzxIywj9aAS6g),metricsmule_httpss.mj.runUbexBvKNujg_A_beautiful_woman_with_s_3ea5b37d-a87c-447d-9bac-3aff2dd50480_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/yNoGIeYWaUoY62o_2oRO-Q/nFA7C_IuIIwnHhrwiQZVZGUhYVhUJQH79bjaN7kowth9_4yHTI3y_9hvbwfOfwok5v9B68TyDbfz2l4bU5imOKlbIXqTUafaDr8H86CC8sqCeu-XsBqD785B2twjtvO1lD5nAiwHQYq0DJIoiH8Rt8uoFqg_zQ0aINLGtgj7hGT6UxYWjpGojc9faBaLzC-Ckv_YI0OE_DMc85u45pcnXLYqp2Jwk6r4-cCvwtIVCTEx2LNSLdKpwM1KBV-GG-0YPdBtuKDIuDqqPseDxtK_mw/pVBRWm-vW8DpFi_JGg0w3tZ-WqdE5G267LQlN4kOI80)",Midjourney,"A beautiful woman with striking blonde hair and piercing eyes walks briskly through a dystopian mega city under torrential rain, her soaked leather trench coat clinging against flickering neon signs. The camera captures raw details of raindrops on her face, blurred traffic lights in the distance, and the grit of the wet asphalt. Shot on Sony Venice 2 + Zeiss Supreme Prime 50mm T1.5, IMG_2985.HEIC, uncompressed RAW still, stills archive. Natural window glow mixes with harsh LED spill, evoking a documentary realism. filename: C0004.R3D, Netflix docu-grade metadata.",1179
"Midjourney 🎨 , ",metricsmule_Generate_a_hyper-realistic_cinematic_image_of_a_b_3993bbf4-b42e-490a-a65d-06cb4e3ed65f_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/Kdx93Cq3NB0zxrkYI64Ucw/jH2do_R9gZghBZqGe-UKnYUUDUi6d5789xGQ0y46naAkamJ07hEjGWMF1HPErvr05z43hFxbr_MPMGNhSR33QfHtvGNfQonUobrjXPYqZQYOQMAPHMY98BXjsOTVz4T6VSf8cCRq7N9WJfjzJHHByrEA0ew8yD_kkImQo2BMm-m6xDmwLQ_Fgg43ftFdJk2h14Du9YZMjxyrROjcdH-fYIDluegquKPCrsu9x5XQpxwjtajHOTpIb8wTTX0iJeXZvGYd6baRTm3gTQyLF-hsOA/DC4ehnYnlj6r1f0ZBrJympsLs0V43jJ7zBWIaJ-wWyE),Midjourney,"Generate a hyper-realistic cinematic image of a beautiful woman with flowing black hair and sharp, determined eyes, walking alone through a dystopian mega city of towering neon billboards, holographic ads flickering across rain-soaked streets. Her leather trench coat reflects shards of electric blue and magenta light, metallic skyscrapers vanishing into smog above. Stray sparks shower from overhead cables as mist curls around her silhouette, evoking a sense of isolation and resilience. Shot on RED V-RAPTOR 8K VV + Panavision Primo 35mm T1.8, simulated in C0001.R3D, IMG_9854.CR2, ProRes_4444XQ, RAW.16bit.ACEScg. Lighting is a chiaroscuro mix of neon rimlight and low tungsten bounce, with volumetric haze and lens flare streaks across the wet pavement. Styled like a deleted Ridley Scott production still, stills archive, hbo .com, editorial_stills_archive, lost film archive. filename: C0003.R3D, from an unreleased Blade Runner pre-viz storyboard",1181
